0	3200	3200	0
100	3163.89	3166.62	0
200	3122	3142	0
300	3072.97	3124.98	0
400	3023	3108	0
500	2976.14	3089.65	0
600	2938	3073	0
700	2913.63	3059	0
800	2895	3045	0
900	2876.69	3031	0
1000	2861	3017	0
1100	2851.82	3009.18	0
1200	2843	3003	0
1300	2830.07	2991.94	0
1400	2816	2981	0
1500	2800.45	2970.5	0
1600	2783	2960	0
1700	2757.07	2949.5	0
1800	2733	2939	0
1900	2718.92	2928.5	0
2000	2705	2918	0
2100	2690.41	2903.5	0
2200	2676	2889	1
2300	2666.8	2881.72	1
2400	2663	2875	1
2500	2663.37	2865.54	1
2600	2663	2854	0
2700	2655.8	2840.15	0
2800	2648	2826	0
2900	2645.67	2811.78	0
3000	2641	2797	0
3100	2628.12	2777.02	0
3200	2613	2755	0
3300	2595.88	2735.72	0
3400	2581	2720	0
3500	2575.02	2709.72	0
3600	2571	2700	0
3700	2563.61	2688.22	0
3800	2557	2677	0
3900	2553	2668	0
4000	2549	2659	0
4100	2544	2649	0
4200	2539	2639	0
4300	2534	2629	0
4400	2529	2619	0
4500	2524.5	2609.5	0
4600	2520	2600	0
4700	2515	2583.78	0
4800	2510	2560	0
4900	2505	2532.47	0
5000	2500	2500	0
